212	2	36036
36036	4	212
212	2	55172
55172	4	212
212	2	31809
31809	4	212
212	2	16365
16365	4	212
212	2	49970
49970	4	212
212	2	63496
63496	4	212
212	2	14828
14828	4	212
212	7	21218
21218	5	212
212	7	1941
1941	5	212
212	7	6775
6775	5	212
212	7	7958
7958	5	212
212	7	43905
43905	5	212
212	7	57238
57238	5	212
212	7	64692
64692	5	212
969	2	40060
40060	4	969
969	2	15340
15340	4	969
969	2	10421
10421	4	969
969	2	32703
32703	4	969
969	2	54631
54631	4	969
969	2	22753
22753	4	969
969	2	36343
36343	4	969
969	2	32487
32487	4	969
969	2	61633
61633	4	969
969	2	20558
20558	4	969
969	2	63436
63436	4	969
969	2	41103
41103	4	969
969	2	50196
50196	4	969
969	2	61328
61328	4	969
969	2	7714
7714	4	969
969	2	11364
11364	4	969
969	2	11088
11088	4	969
969	2	44473
44473	4	969
969	2	47377
47377	4	969
969	2	45311
45311	4	969
969	2	8780
8780	4	969
969	2	27436
27436	4	969
969	2	25148
25148	4	969
969	2	42613
42613	4	969
969	2	46311
46311	4	969
969	2	16244
16244	4	969
969	2	8946
8946	4	969
969	2	30110
30110	4	969
969	2	56984
56984	4	969
969	2	50075
50075	4	969
969	2	10598
10598	4	969
969	2	57845
57845	4	969
969	2	62051
62051	4	969
969	2	40283
40283	4	969
969	2	2519
2519	4	969
969	2	47077
47077	4	969
969	2	7397
7397	4	969
969	2	8132
8132	4	969
969	2	17695
17695	4	969
969	2	19496
19496	4	969
969	7	55780
55780	5	969
969	7	51432
51432	5	969
969	7	12298
12298	5	969
969	7	53522
53522	5	969
969	7	64792
64792	5	969
969	7	16329
16329	5	969
969	7	20684
20684	5	969
969	7	24624
24624	5	969
969	7	50600
50600	5	969
969	7	45095
45095	5	969
969	7	46271
46271	5	969
969	7	38586
38586	5	969
969	7	8178
8178	5	969
969	7	60845
60845	5	969
969	7	27406
27406	5	969
969	7	8903
8903	5	969
969	7	47715
47715	5	969
969	7	64315
64315	5	969
969	7	23886
23886	5	969
969	7	64876
64876	5	969
969	7	10264
10264	5	969
969	7	12909
12909	5	969
969	7	61874
61874	5	969
969	7	55480
55480	5	969
969	7	54775
54775	5	969
969	7	13193
13193	5	969
969	7	32774
32774	5	969
969	7	19241
19241	5	969
969	7	20780
20780	5	969
640	7	58972
58972	5	640
640	7	31490
31490	5	640
640	7	50184
50184	5	640
640	7	20833
20833	5	640
640	7	37880
37880	5	640
640	7	59673
59673	5	640
640	7	49129
49129	5	640
640	7	26219
26219	5	640
640	7	41655
41655	5	640
640	7	34610
34610	5	640
640	7	24126
24126	5	640
640	7	50275
50275	5	640
640	7	17447
17447	5	640
640	7	48391
48391	5	640
640	7	49948
49948	5	640
640	7	2503
2503	5	640
640	7	16879
16879	5	640
640	7	23409
23409	5	640
640	7	64758
64758	5	640
640	7	19591
19591	5	640
640	7	50686
50686	5	640
640	7	32576
32576	5	640
640	7	4783
4783	5	640
640	7	36915
36915	5	640
640	7	34729
34729	5	640
640	7	52454
52454	5	640
640	7	10298
10298	5	640
640	7	14541
14541	5	640
640	7	51061
51061	5	640
640	7	25042
25042	5	640
640	7	53340
53340	5	640
640	7	53842
53842	5	640
640	7	51737
51737	5	640
640	7	54046
54046	5	640
640	7	28610
28610	5	640
640	7	56264
